# Number of sources: 50000
# RA (deg),Dec (deg),I (Jy),Q (Jy),U (Jy),V (Jy),Ref. freq. (Hz),Spectral index,Rotation measure (rad/m^2),FWHM major (arcsec),FWHM minor (arcsec),Position angle (deg)
26.364838, -29.179299, 3.966920e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.631216, -25.557803, 8.140522e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
12.376912, -26.373146, 2.747736e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.762343, -26.818506, 1.525455e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
9.307101, -27.824203, 3.046420e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.863300, -28.974663, 4.730936e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.275334, -22.219333, 8.478195e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.438039, -38.034926, 8.426006e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
9.396845, -30.668673, 2.391785e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.817306, -25.859074, 8.090472e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.490642, -30.208858, 6.573516e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.468902, -23.429110, 3.561891e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
